date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:55	16430/16430	---MCZ	200	added ('OK')	text/html	etag:W/%223ffe-Y2yj/VMOBAqb8B6dLgNKQg%22	http://www.gotokeep.com/plans/565bfb0f2f5f272b8a7880eb	D:/HTTrack/gotokeep/www.gotokeep.com/plans/565bfb0f2f5f272b8a7880eb.html	(from http://www.gotokeep.com/workouthashtags/5684d89d8942be144e745231)
13:18:56	14770/14770	---MCZ	200	added ('OK')	text/html	etag:W/%2239ae-ifJNm4lOu5EzN+6Iyz+akg%22	http://www.gotokeep.com/plans/58da2194d92a832957df33a4	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58da2194d92a832957df33a4.html	(from http://www.gotokeep.com/workouthashtags/58de7af75c08762315299ff2)
13:18:56	19615/19615	---MCZ	200	added ('OK')	text/html	etag:W/%224c9b-4y+cvJu9NZgro+PYCb2PsQ%22	http://www.gotokeep.com/plans/58db21c1aa3dcdf10b0ee9ee	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58db21c1aa3dcdf10b0ee9ee.html	(from http://www.gotokeep.com/workouthashtags/58de7af75c08762315299ff2)
13:18:56	19293/19293	---MCZ	200	added ('OK')	text/html	etag:W/%224b59-zJukOiBdJfLz1jyLJ+KsZw%22	http://www.gotokeep.com/plans/58db2267aa3dcdf10b0ee9f0	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58db2267aa3dcdf10b0ee9f0.html	(from http://www.gotokeep.com/workouthashtags/58de7af75c08762315299ff2)
13:18:57	19451/19451	---MCZ	200	added ('OK')	text/html	etag:W/%224bcb-EhVrwJtE7aujwAO7Vy1R/Q%22	http://www.gotokeep.com/plans/561e387ecb8121aec0971783	D:/HTTrack/gotokeep/www.gotokeep.com/plans/561e387ecb8121aec0971783.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:57	18046/18046	---MCZ	200	added ('OK')	text/html	etag:W/%224654-SQ/vX8VfuLNDGFHNEUj7lw%22	http://www.gotokeep.com/plans/5875d7fc64a9620a70d583fb	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5875d7fc64a9620a70d583fb.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:58	17953/17953	---MCZ	200	added ('OK')	text/html	etag:W/%2245eb-c5xIt/Y5MoY/uCZhuDTv7g%22	http://www.gotokeep.com/plans/57283b1b46960354ba1b6911	D:/HTTrack/gotokeep/www.gotokeep.com/plans/57283b1b46960354ba1b6911.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:58	16116/16116	---MCZ	200	added ('OK')	text/html	etag:W/%223ecc-GPTmYNfrJdTxvkIixLeYBw%22	http://www.gotokeep.com/plans/5604c8b3331e338262f3d36b	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5604c8b3331e338262f3d36b.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:58	17864/17864	---MCZ	200	added ('OK')	text/html	etag:W/%22459a-tk6LK06BzN+TdkL2rEUklQ%22	http://www.gotokeep.com/plans/5603ebfa331e338262f3d35d	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5603ebfa331e338262f3d35d.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:59	18517/18517	---MCZ	200	added ('OK')	text/html	etag:W/%224806-+IqGmrFKyG0her/MJkXp4Q%22	http://www.gotokeep.com/plans/564b15b55c31b0b296788d02	D:/HTTrack/gotokeep/www.gotokeep.com/plans/564b15b55c31b0b296788d02.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:59	17133/17133	---MCZ	200	added ('OK')	text/html	etag:W/%2242bd-6ngK8d/5h8EPAPwE5Elyjg%22	http://www.gotokeep.com/plans/563b33a9bab30bf333565dc5	D:/HTTrack/gotokeep/www.gotokeep.com/plans/563b33a9bab30bf333565dc5.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:18:59	15619/15619	---MCZ	200	added ('OK')	text/html	etag:W/%223ce9-qW+h5XbZUUFLEfjcJTPGoA%22	http://www.gotokeep.com/plans/54afbe6a16a510a82194e24f	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afbe6a16a510a82194e24f.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:19:00	16409/16409	---MCZ	200	added ('OK')	text/html	etag:W/%223ff5-zZE5Rjl52szNkw2lqhHHEw%22	http://www.gotokeep.com/plans/54afa3df35fb7f5912e3c6e7	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afa3df35fb7f5912e3c6e7.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:19:00	17475/17475	---MCZ	200	added ('OK')	text/html	etag:W/%224419-VgUwxCUQU/m4SMea19Si6g%22	http://www.gotokeep.com/plans/5875d8ba64a9620a70d584a1	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5875d8ba64a9620a70d584a1.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:19:00	15880/15880	---MCZ	200	added ('OK')	text/html	etag:W/%223de2-e5G5YYBf5WfSQ7hyhOYbjA%22	http://www.gotokeep.com/plans/5875d95164a9620a70d584a2	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5875d95164a9620a70d584a2.html	(from http://www.gotokeep.com/workouthashtags/5684dfab8942be144e745234)
13:19:01	17179/17179	---MCZ	200	added ('OK')	text/html	etag:W/%2242fb-gPNtBdCLBe1liQ6ujFt6gA%22	http://www.gotokeep.com/plans/55e036226437cbe4f87c399d	D:/HTTrack/gotokeep/www.gotokeep.com/plans/55e036226437cbe4f87c399d.html	(from http://www.gotokeep.com/workouthashtags/5684e01a8942be144e745235)
13:19:01	17410/17410	---MCZ	200	added ('OK')	text/html	etag:W/%2243e2-pMXO9Ug4AFiohN7bW2gSTw%22	http://www.gotokeep.com/plans/54afa6b935fb7f5912e3c701	D:/HTTrack/gotokeep/www.gotokeep.com/plans/54afa6b935fb7f5912e3c701.html	(from http://www.gotokeep.com/workouthashtags/5684e01a8942be144e745235)
13:19:01	17206/17206	---MCZ	200	added ('OK')	text/html	etag:W/%224302-ieUOuEXMdTfnrAoNeg2a7w%22	http://www.gotokeep.com/plans/560ba9f61421f681019395f5	D:/HTTrack/gotokeep/www.gotokeep.com/plans/560ba9f61421f681019395f5.html	(from http://www.gotokeep.com/workouthashtags/5684e01a8942be144e745235)
13:19:02	19877/19877	---MCZ	200	added ('OK')	text/html	etag:W/%224d25-yx5MEgDoRvO9w0eIhyibhA%22	http://www.gotokeep.com/plans/5665427e2ec039526a4ab418	D:/HTTrack/gotokeep/www.gotokeep.com/plans/5665427e2ec039526a4ab418.html	(from http://www.gotokeep.com/workouthashtags/5684e01a8942be144e745235)
13:19:03	14421/14421	---MCZ	200	added ('OK')	text/html	etag:W/%22385d-Q3AVdpE0N4t4kTQZ47y3fg%22	http://www.gotokeep.com/plans/58a2a32641f170306383b95a	D:/HTTrack/gotokeep/www.gotokeep.com/plans/58a2a32641f170306383b95a.html	(from http://www.gotokeep.com/workouthashtags/58c0cbf38fe1f8f10b7806d1)
